ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11646166,JC213529,09-01-2018 00:01,082XX S INGLESIDE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,631,6,8,44,6,,,2018,04-06-2019 16:04,,,
11645836,JC212333,05-01-2016 00:25,055XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,824,8,15,63,11,,,2016,04-06-2019 16:04,,,
11449702,JB373031,07/31/2018 01:30:00 PM,009XX E HYDE PARK BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,233,2,5,41,18,,,2018,04-09-2019 16:24,,,
11643334,JC209972,12/19/2018 04:30:00 PM,056XX W WELLINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2514,25,31,19,14,,,2018,04-04-2019 16:16,,,
11645527,JC212744,02-02-2015 10:00,069XX W ARCHER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,811,8,23,56,11,,,2015,04-06-2019 16:04,,,
11034701,JA366925,01-01-2001 11:00,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,412,4,8,45,11,,,2001,08-05-2017 15:50,,,
10224881,HY411873,09-03-2015 18:00,044XX S UNIVERSITY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,222,2,4,39,14,1184667,1875669,2015,02-10-2018 15:50,41.81399924,-87.59813792,"(41.81399924, -87.598137918)"
11230640,JB152083,12-04-2017 00:00,035XX S MICHIGAN AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,GOVERNMENT BUILDING/PROPERTY,TRUE,FALSE,213,2,3,35,26,,,2017,04-12-2018 15:55,,,
11645648,JC212959,01-01-2018 08:00,024XX N MONITOR AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2515,25,30,19,11,,,2018,04-06-2019 16:04,,,
11645959,JC211511,12/20/2018 04:00:00 PM,045XX N ALBANY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1724,17,33,14,08A,,,2018,04-06-2019 16:04,,,
11645557,JC212685,04-01-2018 00:01,080XX S VERNON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,631,6,6,44,11,,,2018,04-06-2019 16:04,,,
10225155,HY412177,09-05-2015 22:42,007XX W IRVING PARK RD,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,1915,19,46,3,24,1170563,1926785,2015,02-10-2018 15:50,41.95458447,-87.64837578,"(41.954584472, -87.648375776)"
11223717,JB141803,02-04-2018 15:25,044XX W WASHINGTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1113,11,28,26,11,,,2018,02-11-2018 15:57,,,
11160773,JA515078,11/17/2017 09:45:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,,,2017,02/17/2018 03:52:55 PM,,,
11645601,JC212935,06-01-2014 00:01,087XX S SANGAMON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2222,22,21,71,11,,,2014,04-06-2019 16:04,,,
10225206,HY412253,09-06-2015 01:10,047XX S STATE ST,041A,BATTERY,AGGRAVATED: HANDGUN,VACANT LOT/LAND,FALSE,FALSE,224,2,3,38,04B,1177070,1873609,2015,02-10-2018 15:50,41.80852139,-87.62606631,"(41.80852139, -87.62606631)"
11646293,JC213749,12/20/2018 03:00:00 PM,023XX N LOCKWOOD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,2515,25,36,19,11,,,2018,04-06-2019 16:04,,,
10225234,HY412306,09-06-2015 02:00,002XX N ST LOUIS AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,1123,11,28,27,04B,1153006,1901570,2015,02-10-2018 15:50,41.88575928,-87.71358804,"(41.885759278, -87.713588042)"
11645833,JC213044,05-05-2012 12:25,057XX W OHIO ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1511,15,29,25,11,,,2012,04-06-2019 16:04,,,
11227287,JB147188,10-08-2017 03:00,092XX S RACINE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,2222,22,21,73,2,,,2017,02-11-2018 15:57,,,
11227583,JB147595,03/28/2017 02:00:00 PM,026XX W 79TH ST,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,835,8,18,70,5,,,2017,02-11-2018 15:57,,,
11227293,JB147230,09-09-2017 20:17,060XX S EBERHART AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,313,3,20,42,6,,,2017,02-11-2018 15:57,,,
11227634,JB147599,08/26/2017 10:00:00 AM,001XX W RANDOLPH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,122,1,42,32,2,,,2017,02-11-2018 15:57,,,
10225308,HY412341,09-06-2015 02:35,013XX W ADDISON ST,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,SIDEWALK,TRUE,FALSE,1923,19,44,6,22,1166847,1924028,2015,09/17/2015 11:37:18 AM,41.94709983,-87.66211567,"(41.947099832, -87.662115668)"
11645568,JC212803,12/18/2018 11:00:00 AM,032XX N WILTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1924,19,44,6,11,,,2018,04-06-2019 16:04,,,
11227517,JB138481,02-10-2013 00:00,071XX S LAFAYETTE AVE,266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,TRUE,731,7,6,69,2,,,2013,08/30/2020 03:45:17 PM,,,
11227503,JB146383,01-01-2015 00:01,061XX S KILBOURN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,TRUE,813,8,13,65,17,,,2015,04-12-2019 16:00,,,
10225349,HY412480,09-06-2015 00:01,071XX S CENTRAL PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,FALSE,FALSE,833,8,13,65,14,1153542,1857042,2015,02-10-2018 15:50,41.76355798,-87.71280073,"(41.763557981, -87.712800734)"
11037294,JA371270,03/18/2015 12:00:00 PM,0000X W WACKER DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,FALSE,FALSE,111,1,42,32,11,,,2015,08-01-2017 15:52,,,
11227508,JB146365,01-01-2017 00:01,027XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1033,10,12,30,2,,,2017,02-11-2018 15:57,,,
11022695,JA353568,07/17/2017 10:10:00 AM,021XX W MC LEAN AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1432,14,32,22,6,,,2017,07/24/2017 03:54:23 PM,,,
10225475,HY412510,09-05-2015 20:00,059XX S KOLIN AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,813,8,13,65,5,1148387,1864813,2015,02-10-2018 15:50,41.78498338,-87.73149582,"(41.784983382, -87.731495823)"
11227633,JB147500,12/28/2017 03:55:00 PM,011XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,123,1,2,32,11,,,2017,02-11-2018 15:57,,,
11227586,JB147613,02-10-2017 12:00,089XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,633,6,8,44,14,,,2017,02-11-2018 15:57,,,
11227475,JB147314,11/22/2017 02:42:00 AM,056XX N CHRISTIANA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,1711,17,39,13,26,,,2017,02-11-2018 15:57,,,
2053775,HH271612,03/28/2002 08:40:00 PM,004XX E 59 ST,460,BATTERY,SIMPLE,STREET,FALSE,TRUE,234,2,,,08B,,,2002,08/17/2015 03:03:40 PM,,,
11227247,JB147078,01-01-2012 09:00,105XX S INDIANAPOLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,432,4,10,52,11,,,2012,02-11-2018 15:57,,,
11036284,JA370282,07/29/2017 03:40:00 PM,014XX W Devon Ave,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,2432,24,40,1,6,,,2017,08-05-2017 15:50,,,
11227509,JB146413,01/22/2017 12:01:00 AM,079XX S JEFFERY BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,FALSE,414,4,8,46,20,,,2017,02-11-2018 15:57,,,
11227407,JB147329,10/14/2017 12:01:00 AM,037XX N SOUTHPORT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,FALSE,FALSE,1922,19,44,6,11,,,2017,02/22/2018 03:56:47 PM,,,
11028056,JA359834,10/15/2014 03:00:00 PM,047XX S PULASKI RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,821,8,14,57,11,,,2014,07/24/2017 03:54:23 PM,,,
10225582,HY412847,09-04-2015 20:50,059XX N GLENWOOD AVE,820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,2013,20,48,77,6,1165910,1939379,2015,02-10-2018 15:50,41.98924362,-87.66511973,"(41.989243623, -87.665119726)"
11028299,JA360073,05/30/2015 12:00:00 AM,074XX S HARVARD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,TRUE,731,7,17,69,2,,,2015,05/15/2018 03:52:47 PM,,,
11028290,JA360134,05/30/2015 12:00:00 AM,074XX S HARVARD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,TRUE,731,7,17,69,2,,,2015,05/22/2018 04:05:33 PM,,,
